(-81.041791, 34.942715)
(-81.794254, 33.451473)
(-75.634947, 40.324741)
(-84.930078, 45.166744)
(-82.507399, 27.336548)
(-97.146177, 32.848058)
(-96.5389, 28.9531)
(-80.791837, 35.491093)
(-80.790775, 35.444703)
(-81.162704, 35.282872)
(-89.624559, 40.708626)
(-99.3521, 31.1311)
(-90.164682, 44.674917)
(-86.601, 34.70705)
(-74.388197, 41.296744)
(-74.387763, 41.296973)
(-97.392656, 28.661398)
(-96.87772, 40.97017)
(-94.344236, 36.489297)
(-75.398044, 40.318975)
(-92.337011, 42.675121)
(-89.701996, 45.900342)
(-75.5783, 39.8036)
(-93.254753, 36.526282)
(-93.2742, 36.7276)
(-93.2742, 36.7276)
(-85.943073, 43.477658)
(0.0, 0.0)
(-95.811222, 29.564861)
(-97.15083, 31.58319)
(-95.6589, 29.5678)
(-98.895493, 32.754464)
(-94.977, 42.186)
(-94.23018, 46.608559)
(-92.810671, 45.029411)
(-84.374669, 40.44043)
(-117.21836, 33.211906)
(-106.598999, 35.017899)
(-82.877701, 40.108086)
(-88.392423, 40.217537)
(-100.4708, 31.4648)
(-83.533325, 41.613682)
(-91.803303, 36.573492)
(-71.459842, 44.260161)
(-82.72734, 35.239205)
(-82.709435, 35.263123)
(-93.82, 42.46)
(-93.511986, 32.699997)
(-112.834633, 37.683666)
(-80.274683, 26.035459)
(-96.427039, 42.52701)
(-84.164, 36.728)
(-98.044556, 30.406748)
(-91.944848, 44.880102)
(-89.072015, 30.390287)
(-84.110785, 32.006712)
(-71.244127, 42.438802)
(-122.024259, 36.979186)
(-78.966905, 38.37863)
(-74.061401, 40.115199)
(-90.345002, 32.329652)
(-96.479, 41.937)
(-95.245038, 29.393049)
(-82.965898, 39.136199)
(-96.404144, 35.831967)
(-93.813, 43.093)
(-79.340322, 33.92026)
(-97.125809, 34.190453)
(-92.34889, 34.72839)
(-91.0736, 30.4508)
(-77.960366, 43.210408)
(-93.119591, 44.751503)
(-99.634368, 41.414537)
(-87.348991, 35.899123)
(-72.934825, 43.213261)
(-77.480248, 37.640454)
(-120.66607, 45.95016)
(-86.111603, 39.7911)
(-123.384728, 39.437615)
(-93.385161, 44.976582)
(-92.463844, 42.719952)
(-81.450899, 39.457287)
(-81.450899, 39.457287)
(-86.284806, 39.20504)
(-87.957423, 43.158314)
(-87.983923, 43.166077)
(-97.192649, 38.879412)
(-96.828248, 32.397206)
(-74.347175, 41.152687)
(-96.89172, 44.44009)
(-106.623173, 45.90948)
(-97.730421, 30.505484)
(-97.7825, 30.5066)
(-88.947778, 38.636944)
(-77.471868, 37.596097)
(-93.427966, 44.883466)
(-123.115411, 44.639643)
(-82.915878, 42.45223)
(-80.068612, 32.979189)
(-89.4045, 30.26495)
(-83.717279, 39.958932)
(-81.226194, 34.076104)
(-122.401, 40.631233)
(-82.8491, 40.9515)
(-78.926674, 35.626034)
(-82.235657, 27.904548)
(-117.919, 34.341)
(-122.752986, 39.001768)
(-97.599, 41.108)
(-91.49369, 44.843548)
(-105.33, 39.42)
(-80.543047, 40.265798)
(-90.0632, 35.230152)
(-90.0632, 35.230152)
(-122.643675, 47.650653)
(-90.313282, 32.302963)
(-100.92045, 29.398459)
(-114.329782, 48.345725)
(-106.692449, 44.332306)
(-96.128561, 41.079828)
(-93.102773, 37.6279)
(-112.0457, 33.6599)
(-96.455747, 44.796029)
(-95.75513, 34.936564)
(-86.097466, 38.409722)
(-124.417979, 42.414527)
(-71.907288, 42.117783)
(-71.907288, 42.117783)
(-80.48755, 41.249478)
(-97.418286, 30.584603)
(-77.477486, 38.801899)
(-88.647866, 30.394801)
(-106.306028, 42.86461)
(-93.283238, 45.214505)
(-170.278305, 57.12239)
(-84.588622, 42.608316)
(-84.588622, 42.608316)
(0.0, 0.0)
(-89.474727, 41.368057)
(-70.405948, 41.664012)
(-95.182878, 29.63774)
(-77.304169, 38.762299)
(-77.304169, 38.762299)
(-84.518723, 39.139446)
(-87.108225, 36.101899)
(-92.30523, 34.801198)
(-92.303, 34.801)
(-92.305, 34.801)
(-69.68875, 44.379959)
(-87.073683, 31.104612)
(-82.033632, 39.530451)
(-122.46865, 47.400448)
(-99.133018, 41.786705)
(-90.987317, 38.541511)
(-98.939508, 41.606254)
(-80.22917, 39.841199)
(-100.1231, 32.320286)
(-75.561451, 40.395762)
(-90.428826, 41.511064)
(-84.314594, 44.896433)
(-119.460606, 35.400577)
(-123.174655, 45.715368)
(-92.832883, 44.729833)
(-84.595596, 39.491962)
(-93.396, 35.439)
(-92.10283, 37.128332)
(-111.846474, 41.72364)
(-105.14494, 40.62626)
(-119.958149, 34.5783)
(-119.958149, 34.5783)
(-114.031461, 35.271117)
(-102.927667, 38.065557)
(-85.380721, 44.251928)
(-73.615791, 44.699829)
(-83.83363, 39.66957)
(-83.83363, 39.66957)
(-81.925824, 41.486233)
(-95.847774, 32.187408)
(-99.71259, 32.438905)
(-85.522234, 42.799723)
(-86.654204, 34.714895)
(-116.505786, 48.411031)
(-94.745552, 38.886715)
(-79.913601, 40.047641)
(-95.148636, 43.321897)
(-88.442999, 47.254058)
(-94.440376, 37.084671)
(-86.118404, 39.712508)
(-106.596783, 35.15923)
(-85.661876, 42.443985)
(-94.174494, 45.540323)
(-88.324901, 37.018466)
(-76.91895, 38.975802)
(-72.749809, 40.91337)
(-85.583979, 42.932398)
(-123.676304, 43.034886)
(-90.56232, 41.423518)
(-90.56232, 41.423518)
(-105.0188, 39.85895)
(-105.014163, 39.855165)
(-121.005968, 38.658085)
(-94.240905, 39.733219)
(-98.433654, 34.602386)
(-80.854301, 35.1008)
(-96.77087, 33.811287)
(-80.23024, 40.887321)
(-95.9643, 30.2386)
(-75.135686, 38.655082)
(-82.568393, 36.996919)
(-88.52807, 32.319371)
(-94.523642, 39.409224)
(-73.326681, 42.037226)
(-96.54083, 41.412234)
(-81.100971, 41.118577)
(-84.250352, 37.740424)
(-98.63201, 33.897222)
(-89.7337, 39.900156)
(-97.037477, 33.184471)
(-86.634026, 40.315649)
(-122.56482, 44.953885)
(-112.536916, 34.569182)
(-96.581218, 30.240484)
(-78.615848, 35.688278)
(-97.363548, 37.995617)
(-85.312051, 45.048789)
(-88.152071, 42.356498)
(-120.044625, 38.152183)
(-97.361992, 37.776257)
(-96.93219, 37.03594)
(-87.152631, 38.590611)
(-85.200691, 34.99904)
(-80.218339, 40.813806)
(-87.251649, 41.405377)
(-97.193991, 41.48551)
(-82.798001, 35.027554)
(-97.949325, 37.595745)
(-100.34253, 48.968319)
(-121.302495, 45.249498)
(-77.139155, 40.937616)
(-105.537983, 32.829512)
(-75.51937, 40.537559)
(-110.203765, 45.382782)
(-117.314728, 33.304155)
(-117.402843, 33.226756)
(-97.010608, 37.027533)
(-93.082, 42.375)
(-80.856392, 36.474451)
(-94.347866, 46.075511)
(-87.892855, 43.642243)
(-82.363181, 35.628436)
(-75.653, 40.159)
(-117.314146, 47.694336)
(-123.43325, 44.142811)
(-72.821306, 42.125087)
(-72.839425, 41.588799)
(-83.440325, 35.763038)
(-84.084238, 39.41961)
(-122.64916, 44.47061)
(-75.00731, 40.598884)
(-78.653899, 39.316455)
(-97.923803, 28.126494)
(-96.407, 46.099)
(-70.234767, 44.055329)
(-101.650165, 40.517047)
(-78.734014, 35.409523)
(-83.097986, 43.769276)
(-74.19525, 41.058268)
(-74.19525, 41.058268)
(-88.37453, 41.91494)
(-96.63157, 40.740594)
(-85.889438, 42.955124)
(-76.144381, 42.088662)
(-81.004134, 35.014844)
(-81.004134, 35.014844)
(-85.294047, 43.584748)
(-75.5788, 39.7333)
(-114.511861, 42.713124)
(-85.539079, 36.161889)
(-80.680128, 34.84178)
(-86.623232, 35.991176)
(-86.623579, 35.988909)
(-85.84716, 38.26735)
(0.0, 0.0)
(-78.284519, 40.483327)
(-110.488766, 44.729069)
(-106.704433, 35.287062)
(-112.422329, 33.442808)
(-76.309156, 39.387187)
(-89.535227, 37.312398)
(-89.596234, 37.347524)
(-75.093735, 38.785416)
(-74.807303, 39.1011)
(-88.037505, 31.55568)
(-84.822836, 38.217383)
(-89.345815, 43.022191)
(-116.943061, 34.266339)
(-97.913217, 38.021254)
