,name,locality,region,postal_code,latitude,longitude,dgcr_id,year_established,tee_type,basket_type,holes,length,hours_to_play,multiple_layouts,hills,woods,par,sse,difficulty,rating,rating_count
2312,Grubaugh Park,Ozark,MO,65721,37.026544,-93.197767,1333,2007,Concrete,Mach 1,18,4473,2.63,False,0,0,54,42.1,-0.661111111111111,3.68,25
5943,The Timberdoodle Thicket,Middlebourne,WV,26149,39.522474,-80.829377,3887,2010,Gravel,Lightning DB-5,18,4468,2.63,False,1,2,57,48.3,-0.4833333333333335,3.88,8
3420,Logan High School,Logan,OH,43138,39.514824,-82.372957,7058,2014,Rubber,DISCatcher,18,4466,2.63,True,0,0,54,42.1,-0.661111111111111,2.75,4
6616,Willow Fork Park DGC,Katy,TX,77494,29.744196,-95.774616,8769,2016,Concrete,DISCatcher,18,4463,2.63,False,0,0,54,42.1,-0.661111111111111,2.71,12
4651,Primland,Meadows of Dan,VA,24120,36.664,-80.399,6240,2013,Gravel,DISCatcher,18,4462,2.62,True,1,1,61,45.1,-0.8833333333333333,4.0,2
2608,Holton DGC,Holton,MI,49425,43.41691,-86.094943,7924,2015,Concrete,Chainstar,18,4457,2.62,False,0,0,54,42.1,-0.661111111111111,2.75,2
1107,Claystone Park,Macon,GA,31220,32.831063,-83.777184,2468,2007,Concrete,DISCatcher,18,4456,2.62,True,1,1,54,47.1,-0.38333333333333325,2.98,20
2924,Kankakee Highlands,North Judson,IN,46366,41.250686,-86.745617,9993,2018,Rubber,Latitude 64 Pro,18,4451,2.62,False,1,1,57,45.1,-0.661111111111111,3.75,2
4037,Newaygo State Park ,Newaygo,MI,49337,43.501855,-85.582874,3249,2009,Concrete,DISCatcher,18,4448,2.62,True,0,2,58,43.6,-0.7999999999999999,2.71,14
1965,Forest Glen ,Lee,NH,03861,43.134922,-70.991174,7687,2014,Natural,Basket,18,4447,2.62,False,1,2,60,48.2,-0.6555555555555554,2.0,4
2539,Highland Park,St. Paul,MN,55116,44.913479,-93.154053,158,1988,Concrete,Prodigy,18,4447,2.62,True,0,0,54,42.1,-0.661111111111111,2.74,25
2402,Hart Hydro DGC,Hart,MI,49420,43.71821,-86.373034,9514,2017,Concrete,DISCatcher,18,4445,2.62,False,1,1,54,45.0,-0.5,1.25,2
2147,Ghost Town,Russell Gulch,CO,80427,39.779783,-105.532983,2668,2003,Mixed,Basket,19,4445,2.62,True,1,1,57,47.2,-0.5157894736842104,4.13,52
6443,Wellspring,Burlington,NC,27215,35.992122,-79.443169,1089,1989,Concrete,DISCatcher,18,4444,2.62,True,2,2,55,48.5,-0.3611111111111111,3.66,41
1638,Eagle Valley @ USI,Evansville,IN,47712,37.958633,-87.678581,197,2003,Rubber,Chainstar,18,4442,2.62,False,0,0,70,42.0,-1.5555555555555556,2.67,24
6234,UW Whitewater-Hoffman Field,Whitewater,WI,53190,42.846591,-88.750332,1953,2004,Mixed,Mixed,18,4437,2.62,True,2,1,54,45.0,-0.5,2.72,16
5951,The Ville,Rogersville,TN,37857,36.414914,-82.995025,10627,2018,Grass,Prodigy,18,4434,2.61,False,1,0,55,42.0,-0.7222222222222222,2.5,4
1258,Covenant DGC,Winterville,NC,28590,35.557904,-77.3612,3906,2009,Concrete,DISCatcher,18,4431,2.61,False,0,1,55,45.1,-0.5499999999999999,2.63,20
849,Capital City DGC,St. Stephens,AL,36569,31.55568,-88.037505,10739,2018,Grass,Prodigy,18,4430,2.61,False,1,1,54,45.0,-0.5,2.0,1
4352,Panhandle Kiwanis DGC @ Cherry Hill,Coeur d'Alene,ID,83815,47.69041,-116.76306,5490,2008,Rubber,Mach 5,18,4430,2.61,True,2,1,54,45.0,-0.5,3.31,13
4292,Osprey DGC @ Benton Beach,Rice,MN,56367,45.749611,-94.165653,2484,2007,Concrete,Chainstar,18,4429,2.61,False,0,1,55,44.7,-0.5722222222222221,2.55,11
6050,Tootleville Park,Miltonvale,KS,67466,39.350636,-97.445029,2817,2008,Other,DISCatcher,18,4428,2.61,False,0,1,56,44.9,-0.6166666666666667,3.67,6
6656,WinShape DGC,Mt. Berry,GA,30149,34.324,-85.235,1490,2007,Natural,DISCatcher,18,4428,2.61,True,0,0,54,44.7,-0.5166666666666665,2.7,15
3831,Moccasin Bend DGC,Morton,MS,39117,32.31967,-89.668103,2028,2006,Mixed,Mach New 2,18,4426,2.61,True,1,1,54,46.7,-0.4055555555555554,3.82,19
3787,Miller Park Lucky 13,Republic,MO,65738,37.111183,-93.465173,3101,2008,Natural,DGA,13,4424,2.61,False,0,0,43,34.6,-0.6461538461538461,2.29,7
133,Apple Mountain,Clarkesville,GA,30523,34.638213,-83.453994,968,2007,Grass,DISCatcher,18,4422,2.61,False,0,1,61,44.9,-0.8944444444444445,2.36,7
600,Bretton Woods High Alpine DGC,Bretton Woods,NH,03575,44.260161,-71.459842,2542,2007,Grass,Mixed,9,4420,2.61,False,1,0,35,19.4,-1.7333333333333334,2.33,6
4373,Parkside Elementary ,Wautoma,WI,54982,44.074552,-89.307872,4821,2011,Grass,Basket,18,4417,2.61,False,0,0,71,42.0,-1.6111111111111112,1.83,3
4892,Riverfront Park,Moorhead,MN,56560,46.878855,-96.773225,3960,2010,Grass,Other,13,4416,2.61,False,1,0,39,34.5,-0.34615384615384615,2.75,8
1746,Elon Park - Eager Beaver,Charlotte,NC,28277,35.018553,-80.839022,3036,2008,Concrete,DISCatcher,18,4415,2.61,True,0,1,54,44.9,-0.5055555555555556,3.16,51
